sentences : 6
tokens    : 116
ADV       : Sehr
ADJ       : geehrte
NOUN      : Damen
CONJ      : und
NOUN      : Herren
DET       : der
NOUN      : Geschäftsleitung
DET       : der
NOUN      : SBB
PUNCT     : ,
NOUN      : Hiermit
VERB      : beschwere
PRON      : ich
PRON      : mich
ADP       : zum
NUM       : 5
NOUN      : Male
ADV       : schriftlich
PUNCT     : ,
CONJ      : dass
DET       : die
NOUN      : Zugverbindungen
ADP       : von
NOUN      : Bern
ADP       : nach
NOUN      : Basel
PUNCT     : (
ADV       : namentlich
DET       : die
NOUN      : Züge
ADP       : ab
NUM       : 17:36
CONJ      : und
NUM       : 18:04
ADV       : immer
ADV       : verspätet
VERB      : ankommen
PUNCT     : !
DET       : Die
ADJ       : letzten
NOUN      : Male
ADP       : mit
ADJ       : derartigen
NOUN      : Verspätungen
PUNCT     : ,
CONJ      : dass
PRON      : ich
ADV       : nun
ADV       : innert
NUM       : 2
NOUN      : Wochen
ADP       : zum
ADJ       : 5ten
NOUN      : Male
PRON      : mein
NOUN      : Anschlusszug
ADP       : nach
NOUN      : Aesch
VERB      : verpasst
VERB      : habe
PUNCT     : .
ADP       : Beim
NOUN      : Nachfragen
DET       : des
NOUN      : Zugspersonals
VERB      : konnte
PRON      : mir
PRON      : niemand
DET       : einen
NOUN      : Grund
VERB      : nennen
PUNCT     : ,
ADV       : weshalb
DET       : die
NOUN      : Verspätung
ADP       : zu
NOUN      : Stande
VERB      : kam
PUNCT     : .
ADV       : Auch
VERB      : vermisse
PRON      : ich
DET       : eine
NOUN      : Reaktion
ADP       : seitens
DET       : des
NOUN      : Beschwerdemanagement
DET       : der
NOUN      : SBB
PUNCT     : !
PRON      : Ich
VERB      : erwarte
DET       : eine
NOUN      : Begründung
ADP       : für
DET       : die
ADJ       : genannten
NOUN      : Verspätungen
CONJ      : und
DET       : die
ADJ       : konkreten
NOUN      : Massnahmen
PUNCT     : ,
PRON      : was
PRON      : Sie
VERB      : gedenken
ADP       : gegen
DET       : die
NOUN      : Verspätungen
CONJ      : zu
VERB      : tun
PUNCT     : .
ADJ       : Freundliche
NOUN      : Grüsse
NOUN      : Heinz
NOUN      : Müller
